"1","HM Queen Elizabeth II"
"4","Fallout 3"
"4","Me Dedico a Estudiar La Licenciatura en Derecho"
"8","Fuzzy logic"
"8","Linux"
"8","Chess"
"9","Pizza"
"9","Muse"
"14",".: Hay tres cosas en la vida que nunca se deben romper: los juguetes, las promesas y los corazones. "
"14","Llamar a alguien por el nombre del que tiene cara y no el suyo"
"14","TUS CUERNOS SE VEN DESDE GOOGLE EARTH"
"21","Foreign Languages"
"21","Torchwood: Miracle Day"
"21","Jury nullification"
"21","Language"
"21","Zidane"
"21","Travel"
"21","Good Beer and Wine"
"21","Good Books"
"21","Etc"
"21","Skepticism"
"21","Philosophy"
"21","Home brewing"
"21","Learning Latin"
"21","Deutsch Lernen"
"21","Guitar"
"21","Bass guitar"
"21","Playing Keyboard"
"24","Fernando Alonso"
"28","Catedral de Santa Mara de Vitoria"
"28","Cuidar a Mi Bebe"
"35","Cine"
"35","Libros"
"35","Deportes"
"35","Bara"
"35","Xavi Hernndez"
"44","Pizza"
"51","Reading"
"51","Ballet Folklrico De Aztln"
"51","Rire"
"51","Good Food"
"51","Walking in the Woods"
"51","Travelling"
"51","Amazing People"
"51","Langage"
"51","Watercolors"
"51","Origami"
"51","Music in General"
"51","Calligraphie"
"52","Euribor + 0,5"
"52","Pablo Picasso"
"58","Pizza"
"58","Clothes Shopping"
"58","Fashion"
"60","Orquesta Domin en Sampedros 2011"
"60","Ayuntamiento De Castrillo De La Reina"
"60","Concejal"
"63","Guernica"
"63","Pablo Picasso"
"64","Life is too short to wake up with regrets. So love the people who treat you right and forget about the ones who don't. Believe that everything happens for a reason. If you get a second chance, grab it with both hands. If it changes your life, let it. Nobo"
"64","-Estas celosa? -NO -Estas celooosaa! -QUE NO -Me das un beso? -Ve a pedirselo a tu amiguita"
"66","Poker"
"66","Poker"
"66","Pubbing"
"66","Traveling"
"70","Irene Kopelman"
"70","Contemporary art"
"70","Science and technology"
"70","Arte contemporneo"
"70","Networking"
"70","Vdeo"
"70","Actions"
"70","Public art"
"70","Lotera"
"70","Fine art"
"76","Informatica"
"76","Dibujo Y Pintura"
"78","Pablo Picasso"
"78","Futbol Club Barcelona"
